NSW,Goulburn,2580,2580
NSW,Run-o-Waters,2580,2580
NSW,Crookwell,2583,2583
NSW,Marulan,2579,2579
NSW,Tallong,2579,2579
NSW,Laggan,2583,2583
NSW,Binda,2583,2583
NSW,Bigga,2583,2583
NSW,Tuena,2583,2583
NSW,Myrtleville,2580,2580
NSW,Grabben Gullen,2583,2583
NSW,Bannister (NSW),2580,2580
NSW,Towrang,2580,2580
NSW,Bungonia,2580,2580
NSW,Windellama,2580,2580
NSW,Breadalbane (NSW),2581,2581
NSW,Middle Arm,2580,2580
NSW,Baw Baw (NSW),2580,2580
NSW,Gundary,2580,2580
NSW,Quialigo,2580,2580
NSW,Collector,2581,2581
NSW,Parkesbourne,2580,2580
NSW,Brisbane Grove,2580,2580
NSW,Taralga,2580,2580
NSW,Bannaby,2580,2580
NSW,Wombeyan Caves,2580,2580
NSW,Yass,2582,2582
NSW,Gunning,2581,2581
NSW,Dalton,2581,2581
NSW,Murrumbateman,2582,2582
NSW,Nanima,2618,2618 crosses NSW/ACT
NSW,Jeir,2582,2582
NSW,Rye Park,2586,2586
NSW,Gundaroo,2620,2620 crosses NSW/ACT
NSW,Springrange,2618,2618 crosses NSW/ACT
NSW,Good Hope,2582,2582
NSW,Binalong,2584,2584
NSW,Bowning,2582,2582
NSW,Broadway,2581,2581
NSW,Jugiong,2726,2726
NSW,Bookham,2582,2582
NSW,Wallaroo (NSW),2618,2618 crosses NSW/ACT
NSW,Lade Vale,2581,2581
NSW,Sutton (NSW),2620,2620 crosses NSW/ACT
NSW,Wee Jasper,2582,2582
NSW,Yass River,2582,2582
NSW,Marchmont,2582,2582
NSW,Young,2594,2594
NSW,Burrangong,2594,2594
NSW,Boorowa,2586,2586
NSW,Harden,2587,2587
NSW,Murrumburrah,2587,2587
NSW,Wombat,2587,2587
NSW,Koorawatha,2807,2807
NSW,Bendick Murrell,2803,2803
NSW,Monteagle,2594,2594
NSW,Memagong,2594,2594
NSW,Bribbaree,2594,2594
NSW,Godfreys Creek,2586,2586
NSW,Frogmore,2586,2586
NSW,Kingsvale,2587,2587
NSW,Galong,2585,2585
NSW,Murringo,2586,2586
NSW,Lower Boro,2580,2580
NSW,Braidwood,2622,2622
NSW,Majors Creek (NSW),2622,2622
NSW,Araluen (NSW),2622,2622
NSW,Harolds Cross,2622,2622
NSW,Warri,2622,2622
NSW,Nerriga,2622,2622
NSW,Karabar,2620,2620 crosses NSW/ACT
NSW,Queanbeyan,2620,2620 crosses NSW/ACT
NSW,Crestwood,2620,2620 crosses NSW/ACT
NSW,Queanbeyan East,2620,2620 crosses NSW/ACT
NSW,Greenleigh,2620,2620 crosses NSW/ACT
NSW,The Ridgeway,2620,2620 crosses NSW/ACT
NSW,Bungendore,2621,2621
NSW,Carwoola,2620,2620 crosses NSW/ACT
NSW,Hoskinstown,2621,2621
NSW,Captains Flat,2623,2623
NSW,Burra (Palerang - NSW),2620,2620 crosses NSW/ACT
NSW,Michelago,2620,2620 crosses NSW/ACT
NSW,Mount Fairy,2580,2580
NSW,Mulloon,2622,2622
NSW,Royalla,2620,2620 crosses NSW/ACT
NSW,Primrose Valley,2621,2621
NSW,Tarago,2580,2580
NSW,Googong,2620,2620 crosses NSW/ACT
NSW,Wamboin,2620,2620 crosses NSW/ACT
NSW,Bywong,2621,2621
NSW,Jerrabomberra,2619,2619
NSW,Queanbeyan West,2620,2620 crosses NSW/ACT
